level,team_formation,opp_formation,metric,value,sample_n
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK4_1STRIKER,clearances,27.2073,82
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK4_1STRIKER,corners,3.7195,82
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK4_1STRIKER,crosses,4.3049,82
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK4_2STRIKER,clearances,25.2857,21
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK4_2STRIKER,corners,4.0952,21
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK4_2STRIKER,crosses,5.2381,21
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK5_DEFENSIVE,clearances,26.0,16
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK5_DEFENSIVE,corners,5.875,16
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK5_DEFENSIVE,crosses,5.0625,16
EXACT_x_EXACT,3-1-4-2,3-4-1-2,clearances,34.0,2
EXACT_x_EXACT,3-1-4-2,3-4-1-2,corners,7.5,2
EXACT_x_EXACT,3-1-4-2,3-4-1-2,crosses,3.0,2
EXACT_x_EXACT,3-1-4-2,3-4-2-1,clearances,16.0,2
EXACT_x_EXACT,3-1-4-2,3-4-2-1,corners,5.0,2
EXACT_x_EXACT,3-1-4-2,3-4-2-1,crosses,3.5,2
EXACT_x_EXACT,3-1-4-2,3-4-3,clearances,26.5,2
EXACT_x_EXACT,3-1-4-2,3-4-3,corners,3.0,2
EXACT_x_EXACT,3-1-4-2,3-4-3,crosses,2.5,2
EXACT_x_EXACT,3-1-4-2,4-1-4-1,clearances,19.0,1
EXACT_x_EXACT,3-1-4-2,4-1-4-1,corners,3.0,1
EXACT_x_EXACT,3-1-4-2,4-1-4-1,crosses,2.0,1
EXACT_x_EXACT,3-1-4-2,4-2-3-1,clearances,25.75,8
EXACT_x_EXACT,3-1-4-2,4-2-3-1,corners,3.5,8
EXACT_x_EXACT,3-1-4-2,4-2-3-1,crosses,3.625,8
EXACT_x_EXACT,3-1-4-2,4-3-3,clearances,29.0,2
EXACT_x_EXACT,3-1-4-2,4-3-3,corners,4.0,2
EXACT_x_EXACT,3-1-4-2,4-3-3,crosses,3.5,2
EXACT_x_EXACT,3-1-4-2,4-4-2,clearances,26.75,4
EXACT_x_EXACT,3-1-4-2,4-4-2,corners,4.75,4
EXACT_x_EXACT,3-1-4-2,4-4-2,crosses,4.5,4
EXACT_x_EXACT,3-1-4-2,5-3-2,clearances,18.5,2
EXACT_x_EXACT,3-1-4-2,5-3-2,corners,7.0,2
EXACT_x_EXACT,3-1-4-2,5-3-2,crosses,11.5,2
EXACT_x_EXACT,3-1-4-2,5-4-1,clearances,18.0,1
EXACT_x_EXACT,3-1-4-2,5-4-1,corners,6.0,1
EXACT_x_EXACT,3-1-4-2,5-4-1,crosses,6.0,1
EXACT_x_EXACT,3-2-4-1,3-4-2-1,clearances,42.0,1
EXACT_x_EXACT,3-2-4-1,3-4-2-1,corners,2.0,1
EXACT_x_EXACT,3-2-4-1,3-4-2-1,crosses,3.0,1
EXACT_x_EXACT,3-2-4-1,4-2-3-1,clearances,30.0,1
EXACT_x_EXACT,3-2-4-1,4-2-3-1,corners,1.0,1
EXACT_x_EXACT,3-2-4-1,4-2-3-1,crosses,4.0,1
EXACT_x_EXACT,3-3-1-3,4-4-2,clearances,16.0,1
EXACT_x_EXACT,3-3-1-3,4-4-2,corners,3.0,1
EXACT_x_EXACT,3-3-1-3,4-4-2,crosses,12.0,1
EXACT_x_EXACT,3-3-1-3,5-4-1,clearances,32.0,1
EXACT_x_EXACT,3-3-1-3,5-4-1,corners,3.0,1
EXACT_x_EXACT,3-3-1-3,5-4-1,crosses,4.0,1
EXACT_x_EXACT,3-4-1-2,3-1-4-2,clearances,31.5,2
EXACT_x_EXACT,3-4-1-2,3-1-4-2,corners,2.5,2
EXACT_x_EXACT,3-4-1-2,3-1-4-2,crosses,4.0,2
EXACT_x_EXACT,3-4-1-2,3-4-1-2,clearances,25.0,4
EXACT_x_EXACT,3-4-1-2,3-4-1-2,corners,6.0,4
EXACT_x_EXACT,3-4-1-2,3-4-1-2,crosses,4.5,4
EXACT_x_EXACT,3-4-1-2,3-4-2-1,clearances,39.6667,3
EXACT_x_EXACT,3-4-1-2,3-4-2-1,corners,2.0,3
EXACT_x_EXACT,3-4-1-2,3-4-2-1,crosses,5.3333,3
EXACT_x_EXACT,3-4-1-2,3-4-3,clearances,26.0,1
EXACT_x_EXACT,3-4-1-2,3-4-3,corners,5.0,1
EXACT_x_EXACT,3-4-1-2,3-4-3,crosses,5.0,1
EXACT_x_EXACT,3-4-1-2,3-5-2,clearances,17.0,1
EXACT_x_EXACT,3-4-1-2,3-5-2,corners,10.0,1
EXACT_x_EXACT,3-4-1-2,3-5-2,crosses,3.0,1
EXACT_x_EXACT,3-4-1-2,4-1-4-1,clearances,28.0,2
EXACT_x_EXACT,3-4-1-2,4-1-4-1,corners,11.0,2
EXACT_x_EXACT,3-4-1-2,4-1-4-1,crosses,5.5,2
EXACT_x_EXACT,3-4-1-2,4-2-3-1,clearances,29.3333,15
EXACT_x_EXACT,3-4-1-2,4-2-3-1,corners,5.0667,15
EXACT_x_EXACT,3-4-1-2,4-2-3-1,crosses,4.4,15
EXACT_x_EXACT,3-4-1-2,4-3-3,clearances,17.0,1
EXACT_x_EXACT,3-4-1-2,4-3-3,corners,5.0,1
EXACT_x_EXACT,3-4-1-2,4-3-3,crosses,4.0,1
EXACT_x_EXACT,3-4-1-2,4-4-2,clearances,25.0,2
EXACT_x_EXACT,3-4-1-2,4-4-2,corners,2.0,2
EXACT_x_EXACT,3-4-1-2,4-4-2,crosses,4.0,2
EXACT_x_EXACT,3-4-1-2,5-3-2,clearances,26.5,4
EXACT_x_EXACT,3-4-1-2,5-3-2,corners,5.0,4
EXACT_x_EXACT,3-4-1-2,5-3-2,crosses,3.75,4
EXACT_x_EXACT,3-4-1-2,5-4-1,clearances,52.0,1
EXACT_x_EXACT,3-4-1-2,5-4-1,corners,4.0,1
EXACT_x_EXACT,3-4-1-2,5-4-1,crosses,4.0,1
EXACT_x_EXACT,3-4-2-1,3-1-4-2,clearances,23.5,2
EXACT_x_EXACT,3-4-2-1,3-1-4-2,corners,3.5,2
EXACT_x_EXACT,3-4-2-1,3-1-4-2,crosses,1.0,2
EXACT_x_EXACT,3-4-2-1,3-2-4-1,clearances,17.0,1
EXACT_x_EXACT,3-4-2-1,3-2-4-1,corners,12.0,1
EXACT_x_EXACT,3-4-2-1,3-2-4-1,crosses,7.0,1
EXACT_x_EXACT,3-4-2-1,3-4-1-2,clearances,23.6667,3
EXACT_x_EXACT,3-4-2-1,3-4-1-2,corners,7.3333,3
EXACT_x_EXACT,3-4-2-1,3-4-1-2,crosses,5.3333,3
EXACT_x_EXACT,3-4-2-1,3-4-2-1,clearances,26.8125,16
EXACT_x_EXACT,3-4-2-1,3-4-2-1,corners,4.625,16
EXACT_x_EXACT,3-4-2-1,3-4-2-1,crosses,4.75,16
EXACT_x_EXACT,3-4-2-1,3-4-3,clearances,26.8333,6
EXACT_x_EXACT,3-4-2-1,3-4-3,corners,3.3333,6
EXACT_x_EXACT,3-4-2-1,3-4-3,crosses,3.6667,6
EXACT_x_EXACT,3-4-2-1,3-5-2,clearances,24.4,10
EXACT_x_EXACT,3-4-2-1,3-5-2,corners,4.9,10
EXACT_x_EXACT,3-4-2-1,3-5-2,crosses,4.4,10
EXACT_x_EXACT,3-4-2-1,4-1-3-2,clearances,23.0,1
EXACT_x_EXACT,3-4-2-1,4-1-3-2,corners,4.0,1
EXACT_x_EXACT,3-4-2-1,4-1-3-2,crosses,4.0,1
EXACT_x_EXACT,3-4-2-1,4-1-4-1,clearances,26.3333,6
EXACT_x_EXACT,3-4-2-1,4-1-4-1,corners,5.8333,6
EXACT_x_EXACT,3-4-2-1,4-1-4-1,crosses,6.1667,6
EXACT_x_EXACT,3-4-2-1,4-2-3-1,clearances,27.9016,61
EXACT_x_EXACT,3-4-2-1,4-2-3-1,corners,4.4262,61
EXACT_x_EXACT,3-4-2-1,4-2-3-1,crosses,3.6885,61
EXACT_x_EXACT,3-4-2-1,4-3-3,clearances,20.8889,18
EXACT_x_EXACT,3-4-2-1,4-3-3,corners,4.1111,18
EXACT_x_EXACT,3-4-2-1,4-3-3,crosses,4.6667,18
EXACT_x_EXACT,3-4-2-1,4-4-1-1,clearances,16.3333,3
EXACT_x_EXACT,3-4-2-1,4-4-1-1,corners,4.3333,3
EXACT_x_EXACT,3-4-2-1,4-4-1-1,crosses,4.0,3
EXACT_x_EXACT,3-4-2-1,4-4-2,clearances,28.2,5
EXACT_x_EXACT,3-4-2-1,4-4-2,corners,6.2,5
EXACT_x_EXACT,3-4-2-1,4-4-2,crosses,4.8,5
EXACT_x_EXACT,3-4-2-1,4-5-1,clearances,23.6667,3
EXACT_x_EXACT,3-4-2-1,4-5-1,corners,4.0,3
EXACT_x_EXACT,3-4-2-1,4-5-1,crosses,5.0,3
EXACT_x_EXACT,3-4-2-1,5-3-2,clearances,28.5,2
EXACT_x_EXACT,3-4-2-1,5-3-2,corners,2.0,2
EXACT_x_EXACT,3-4-2-1,5-3-2,crosses,0.0,2
EXACT_x_EXACT,3-4-2-1,5-4-1,clearances,21.0,2
EXACT_x_EXACT,3-4-2-1,5-4-1,corners,2.5,2
EXACT_x_EXACT,3-4-2-1,5-4-1,crosses,2.5,2
EXACT_x_EXACT,3-4-3,3-1-4-2,clearances,32.0,2
EXACT_x_EXACT,3-4-3,3-1-4-2,corners,6.0,2
EXACT_x_EXACT,3-4-3,3-1-4-2,crosses,6.0,2
EXACT_x_EXACT,3-4-3,3-4-1-2,clearances,21.0,1
EXACT_x_EXACT,3-4-3,3-4-1-2,corners,7.0,1
EXACT_x_EXACT,3-4-3,3-4-1-2,crosses,8.0,1
EXACT_x_EXACT,3-4-3,3-4-2-1,clearances,24.1667,6
EXACT_x_EXACT,3-4-3,3-4-2-1,corners,5.0,6
EXACT_x_EXACT,3-4-3,3-4-2-1,crosses,4.3333,6
EXACT_x_EXACT,3-4-3,3-4-3,clearances,26.5,2
EXACT_x_EXACT,3-4-3,3-4-3,corners,3.5,2
EXACT_x_EXACT,3-4-3,3-4-3,crosses,3.5,2
EXACT_x_EXACT,3-4-3,3-5-2,clearances,24.0,3
EXACT_x_EXACT,3-4-3,3-5-2,corners,5.0,3
EXACT_x_EXACT,3-4-3,3-5-2,crosses,6.6667,3
EXACT_x_EXACT,3-4-3,4-1-4-1,clearances,22.0,6
EXACT_x_EXACT,3-4-3,4-1-4-1,corners,3.5,6
EXACT_x_EXACT,3-4-3,4-1-4-1,crosses,3.0,6
EXACT_x_EXACT,3-4-3,4-2-3-1,clearances,24.24,25
EXACT_x_EXACT,3-4-3,4-2-3-1,corners,4.76,25
EXACT_x_EXACT,3-4-3,4-2-3-1,crosses,3.64,25
EXACT_x_EXACT,3-4-3,4-3-3,clearances,21.5,2
EXACT_x_EXACT,3-4-3,4-3-3,corners,1.0,2
EXACT_x_EXACT,3-4-3,4-3-3,crosses,0.5,2
EXACT_x_EXACT,3-4-3,4-4-2,clearances,18.625,8
EXACT_x_EXACT,3-4-3,4-4-2,corners,3.875,8
EXACT_x_EXACT,3-4-3,4-4-2,crosses,4.125,8
EXACT_x_EXACT,3-4-3,4-5-1,clearances,10.0,1
EXACT_x_EXACT,3-4-3,4-5-1,corners,4.0,1
EXACT_x_EXACT,3-4-3,4-5-1,crosses,6.0,1
EXACT_x_EXACT,3-4-3,5-3-2,clearances,20.4,5
EXACT_x_EXACT,3-4-3,5-3-2,corners,4.6,5
EXACT_x_EXACT,3-4-3,5-3-2,crosses,5.4,5
EXACT_x_EXACT,3-4-3,5-4-1,clearances,18.3333,3
EXACT_x_EXACT,3-4-3,5-4-1,corners,8.3333,3
EXACT_x_EXACT,3-4-3,5-4-1,crosses,5.3333,3
EXACT_x_EXACT,3-5-1-1,4-2-3-1,clearances,41.5,2
EXACT_x_EXACT,3-5-1-1,4-2-3-1,corners,3.5,2
EXACT_x_EXACT,3-5-1-1,4-2-3-1,crosses,4.0,2
EXACT_x_EXACT,3-5-2,3-4-1-2,clearances,35.0,1
EXACT_x_EXACT,3-5-2,3-4-1-2,corners,4.0,1
EXACT_x_EXACT,3-5-2,3-4-1-2,crosses,3.0,1
EXACT_x_EXACT,3-5-2,3-4-2-1,clearances,23.6,10
EXACT_x_EXACT,3-5-2,3-4-2-1,corners,3.9,10
EXACT_x_EXACT,3-5-2,3-4-2-1,crosses,3.6,10
EXACT_x_EXACT,3-5-2,3-4-3,clearances,22.6667,3
EXACT_x_EXACT,3-5-2,3-4-3,corners,3.0,3
EXACT_x_EXACT,3-5-2,3-4-3,crosses,4.0,3
EXACT_x_EXACT,3-5-2,4-1-4-1,clearances,31.6667,3
EXACT_x_EXACT,3-5-2,4-1-4-1,corners,2.6667,3
EXACT_x_EXACT,3-5-2,4-1-4-1,crosses,4.0,3
EXACT_x_EXACT,3-5-2,4-2-3-1,clearances,31.3103,29
EXACT_x_EXACT,3-5-2,4-2-3-1,corners,4.1034,29
EXACT_x_EXACT,3-5-2,4-2-3-1,crosses,3.9655,29
EXACT_x_EXACT,3-5-2,4-3-2-1,clearances,20.0,1
EXACT_x_EXACT,3-5-2,4-3-2-1,corners,7.0,1
EXACT_x_EXACT,3-5-2,4-3-2-1,crosses,6.0,1
EXACT_x_EXACT,3-5-2,4-3-3,clearances,27.3333,6
EXACT_x_EXACT,3-5-2,4-3-3,corners,3.6667,6
EXACT_x_EXACT,3-5-2,4-3-3,crosses,4.3333,6
EXACT_x_EXACT,3-5-2,4-4-1-1,clearances,25.0,1
EXACT_x_EXACT,3-5-2,4-4-1-1,corners,3.0,1
EXACT_x_EXACT,3-5-2,4-4-1-1,crosses,8.0,1
EXACT_x_EXACT,3-5-2,4-4-2,clearances,32.75,4
EXACT_x_EXACT,3-5-2,4-4-2,corners,6.75,4
EXACT_x_EXACT,3-5-2,4-4-2,crosses,3.25,4
EXACT_x_EXACT,3-5-2,5-3-2,clearances,36.0,1
EXACT_x_EXACT,3-5-2,5-3-2,corners,5.0,1
EXACT_x_EXACT,3-5-2,5-3-2,crosses,7.0,1
EXACT_x_EXACT,3-5-2,5-4-1,clearances,19.0,1
EXACT_x_EXACT,3-5-2,5-4-1,corners,5.0,1
EXACT_x_EXACT,3-5-2,5-4-1,crosses,3.0,1
EXACT_x_EXACT,4-1-3-2,3-4-2-1,clearances,28.0,1
EXACT_x_EXACT,4-1-3-2,3-4-2-1,corners,5.0,1
EXACT_x_EXACT,4-1-3-2,3-4-2-1,crosses,4.0,1
EXACT_x_EXACT,4-1-3-2,4-2-3-1,clearances,22.0,2
EXACT_x_EXACT,4-1-3-2,4-2-3-1,corners,3.5,2
EXACT_x_EXACT,4-1-3-2,4-2-3-1,crosses,2.0,2
EXACT_x_EXACT,4-1-3-2,4-3-3,clearances,13.0,1
EXACT_x_EXACT,4-1-3-2,4-3-3,corners,7.0,1
EXACT_x_EXACT,4-1-3-2,4-3-3,crosses,9.0,1
EXACT_x_EXACT,4-1-3-2,4-4-2,clearances,24.0,1
EXACT_x_EXACT,4-1-3-2,4-4-2,corners,5.0,1
EXACT_x_EXACT,4-1-3-2,4-4-2,crosses,5.0,1
EXACT_x_EXACT,4-1-4-1,3-1-4-2,clearances,22.0,1
EXACT_x_EXACT,4-1-4-1,3-1-4-2,corners,7.0,1
EXACT_x_EXACT,4-1-4-1,3-1-4-2,crosses,10.0,1
EXACT_x_EXACT,4-1-4-1,3-4-1-2,clearances,46.0,2
EXACT_x_EXACT,4-1-4-1,3-4-1-2,corners,6.0,2
EXACT_x_EXACT,4-1-4-1,3-4-1-2,crosses,3.5,2
EXACT_x_EXACT,4-1-4-1,3-4-2-1,clearances,23.5,6
EXACT_x_EXACT,4-1-4-1,3-4-2-1,corners,3.0,6
EXACT_x_EXACT,4-1-4-1,3-4-2-1,crosses,3.8333,6
EXACT_x_EXACT,4-1-4-1,3-4-3,clearances,21.3333,6
EXACT_x_EXACT,4-1-4-1,3-4-3,corners,6.0,6
EXACT_x_EXACT,4-1-4-1,3-4-3,crosses,3.1667,6
EXACT_x_EXACT,4-1-4-1,3-5-2,clearances,14.0,3
EXACT_x_EXACT,4-1-4-1,3-5-2,corners,10.3333,3
EXACT_x_EXACT,4-1-4-1,3-5-2,crosses,4.0,3
EXACT_x_EXACT,4-1-4-1,4-1-4-1,clearances,18.1667,12
EXACT_x_EXACT,4-1-4-1,4-1-4-1,corners,4.1667,12
EXACT_x_EXACT,4-1-4-1,4-1-4-1,crosses,3.5,12
EXACT_x_EXACT,4-1-4-1,4-2-3-1,clearances,25.7317,41
EXACT_x_EXACT,4-1-4-1,4-2-3-1,corners,5.0,41
EXACT_x_EXACT,4-1-4-1,4-2-3-1,crosses,4.0732,41
EXACT_x_EXACT,4-1-4-1,4-3-1-2,clearances,21.6667,3
EXACT_x_EXACT,4-1-4-1,4-3-1-2,corners,6.3333,3
EXACT_x_EXACT,4-1-4-1,4-3-1-2,crosses,5.0,3
EXACT_x_EXACT,4-1-4-1,4-3-3,clearances,18.4615,13
EXACT_x_EXACT,4-1-4-1,4-3-3,corners,4.0769,13
EXACT_x_EXACT,4-1-4-1,4-3-3,crosses,4.0,13
EXACT_x_EXACT,4-1-4-1,4-4-1-1,clearances,16.5,4
EXACT_x_EXACT,4-1-4-1,4-4-1-1,corners,7.75,4
EXACT_x_EXACT,4-1-4-1,4-4-1-1,crosses,6.25,4
EXACT_x_EXACT,4-1-4-1,4-4-2,clearances,22.0476,21
EXACT_x_EXACT,4-1-4-1,4-4-2,corners,4.4286,21
EXACT_x_EXACT,4-1-4-1,4-4-2,crosses,3.9524,21
EXACT_x_EXACT,4-1-4-1,4-5-1,clearances,17.0,2
EXACT_x_EXACT,4-1-4-1,4-5-1,corners,6.0,2
EXACT_x_EXACT,4-1-4-1,4-5-1,crosses,6.5,2
EXACT_x_EXACT,4-1-4-1,5-3-2,clearances,20.3,10
EXACT_x_EXACT,4-1-4-1,5-3-2,corners,4.1,10
EXACT_x_EXACT,4-1-4-1,5-3-2,crosses,4.9,10
EXACT_x_EXACT,4-1-4-1,5-4-1,clearances,25.0,6
EXACT_x_EXACT,4-1-4-1,5-4-1,corners,5.8333,6
EXACT_x_EXACT,4-1-4-1,5-4-1,crosses,5.6667,6
EXACT_x_EXACT,4-2-2-2,4-2-3-1,clearances,31.6667,6
EXACT_x_EXACT,4-2-2-2,4-2-3-1,corners,4.1667,6
EXACT_x_EXACT,4-2-2-2,4-2-3-1,crosses,4.1667,6
EXACT_x_EXACT,4-2-3-1,3-1-4-2,clearances,26.0,8
EXACT_x_EXACT,4-2-3-1,3-1-4-2,corners,5.75,8
EXACT_x_EXACT,4-2-3-1,3-1-4-2,crosses,3.875,8
EXACT_x_EXACT,4-2-3-1,3-2-4-1,clearances,10.0,1
EXACT_x_EXACT,4-2-3-1,3-2-4-1,corners,8.0,1
EXACT_x_EXACT,4-2-3-1,3-2-4-1,crosses,8.0,1
EXACT_x_EXACT,4-2-3-1,3-4-1-2,clearances,30.6667,15
EXACT_x_EXACT,4-2-3-1,3-4-1-2,corners,5.0,15
EXACT_x_EXACT,4-2-3-1,3-4-1-2,crosses,4.4,15
EXACT_x_EXACT,4-2-3-1,3-4-2-1,clearances,23.1639,61
EXACT_x_EXACT,4-2-3-1,3-4-2-1,corners,5.4098,61
EXACT_x_EXACT,4-2-3-1,3-4-2-1,crosses,4.7705,61
EXACT_x_EXACT,4-2-3-1,3-4-3,clearances,26.92,25
EXACT_x_EXACT,4-2-3-1,3-4-3,corners,5.04,25
EXACT_x_EXACT,4-2-3-1,3-4-3,crosses,3.04,25
EXACT_x_EXACT,4-2-3-1,3-5-1-1,clearances,15.5,2
EXACT_x_EXACT,4-2-3-1,3-5-1-1,corners,10.0,2
EXACT_x_EXACT,4-2-3-1,3-5-1-1,crosses,6.0,2
EXACT_x_EXACT,4-2-3-1,3-5-2,clearances,28.1034,29
EXACT_x_EXACT,4-2-3-1,3-5-2,corners,5.4483,29
EXACT_x_EXACT,4-2-3-1,3-5-2,crosses,4.5517,29
EXACT_x_EXACT,4-2-3-1,4-1-3-2,clearances,18.5,2
EXACT_x_EXACT,4-2-3-1,4-1-3-2,corners,6.5,2
EXACT_x_EXACT,4-2-3-1,4-1-3-2,crosses,7.5,2
EXACT_x_EXACT,4-2-3-1,4-1-4-1,clearances,22.2439,41
EXACT_x_EXACT,4-2-3-1,4-1-4-1,corners,5.9268,41
EXACT_x_EXACT,4-2-3-1,4-1-4-1,crosses,4.6829,41
EXACT_x_EXACT,4-2-3-1,4-2-2-2,clearances,31.1667,6
EXACT_x_EXACT,4-2-3-1,4-2-2-2,corners,4.8333,6
EXACT_x_EXACT,4-2-3-1,4-2-2-2,crosses,3.5,6
EXACT_x_EXACT,4-2-3-1,4-2-3-1,clearances,25.552,346
EXACT_x_EXACT,4-2-3-1,4-2-3-1,corners,4.8179,346
EXACT_x_EXACT,4-2-3-1,4-2-3-1,crosses,4.1127,346
EXACT_x_EXACT,4-2-3-1,4-3-1-2,clearances,19.0,4
EXACT_x_EXACT,4-2-3-1,4-3-1-2,corners,3.75,4
EXACT_x_EXACT,4-2-3-1,4-3-1-2,crosses,4.5,4
EXACT_x_EXACT,4-2-3-1,4-3-2-1,clearances,27.6667,3
EXACT_x_EXACT,4-2-3-1,4-3-2-1,corners,4.3333,3
EXACT_x_EXACT,4-2-3-1,4-3-2-1,crosses,5.0,3
EXACT_x_EXACT,4-2-3-1,4-3-3,clearances,21.9844,64
