fixture_id,competition,evidence_id,metric,base_metric,side,half,formation_condition,opponent_condition,value,raw_value,z_score,percentile,baseline,delta,sample_n,effective_n,shrinkage_level,evidence_level,venue,provider,reliability,temporal_status
mt_012249215,COMP_NEUTRAL,A_DEF_total_shots_against_eb1302,total_shots_against,total_shots,AGAINST,FULL,UNCONDITIONED,TEAM_B,10.5969,10.5969,-1.0,0.25,12.4169,-1.82,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DEF_shots_inside_box_against_97040b,shots_inside_box_against,shots_inside_box,AGAINST,FULL,UNCONDITIONED,TEAM_B,7.2492,7.2492,-1.1305,0.125,8.3218,-1.0726,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DEF_touches_in_box_against_f2ba0f,touches_in_box_against,touches_in_box,AGAINST,FULL,UNCONDITIONED,TEAM_B,,,,,,,1,1,SHRUNK,ALL_VENUES,home,thestatsapi,LOW,UNAVAILABLE
mt_012249215,COMP_NEUTRAL,A_DEF_corners_against_6cdcf2,corners_against,corners,AGAINST,FULL,UNCONDITIONED,TEAM_B,4.0154,4.0154,0.1282,0.4375,3.7191,0.2963,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DEF_blocked_shots_for_c0e846,blocked_shots_for,blocked_shots,FOR,FULL,UNCONDITIONED,TEAM_B,4.4462,4.4462,0.8464,0.6875,2.9411,1.5051,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DEF_clearances_for_564cef,clearances_for,clearances,FOR,FULL,UNCONDITIONED,TEAM_B,15.3846,15.3846,0.1128,0.4375,14.3754,1.0092,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DEF_interceptions_for_6a9506,interceptions_for,interceptions,FOR,FULL,UNCONDITIONED,TEAM_B,10.4862,10.4862,1.0,0.75,9.7293,0.7569,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DIS_fouls_for_2d72c0,fouls_for,fouls,FOR,FULL,UNCONDITIONED,TEAM_B,12.8523,12.8523,1.0,0.75,11.8507,1.0015,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DIS_tackles_for_521dbe,tackles_for,tackles,FOR,FULL,UNCONDITIONED,TEAM_B,17.3385,17.3385,1.0,0.75,16.6231,0.7154,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DIS_yellow_cards_for_bcf296,yellow_cards_for,yellow_cards,FOR,FULL,UNCONDITIONED,TEAM_B,2.6031,2.6031,1.0,0.75,2.3093,0.2938,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DIS_fouls_against_5ce60b,fouls_against,fouls,AGAINST,FULL,UNCONDITIONED,TEAM_B,9.9508,9.9508,-1.0,0.25,10.6785,-0.7277,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_ATK_crosses_for_de1a43,crosses_for,crosses,FOR,FULL,UNCONDITIONED,TEAM_A,5.3415,5.3415,0.622,0.6875,3.9284,1.4131,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_ATK_total_shots_for_c3d64b,total_shots_for,total_shots,FOR,FULL,UNCONDITIONED,TEAM_A,10.9169,10.9169,0.5274,0.5833,7.9259,2.991,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_ATK_shots_on_target_for_23d44d,shots_on_target_for,shots_on_target,FOR,FULL,UNCONDITIONED,TEAM_A,3.3631,3.3631,-1.0,0.25,3.3739,-0.0107,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_ATK_shots_inside_box_for_57d65c,shots_inside_box_for,shots_inside_box,FOR,FULL,UNCONDITIONED,TEAM_A,7.0092,7.0092,-1.0,0.25,7.5169,-0.5077,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_ATK_touches_in_box_for_8b1203,touches_in_box_for,touches_in_box,FOR,FULL,UNCONDITIONED,TEAM_A,,,,,,,3,2,SHRUNK,ALL_VENUES,away,thestatsapi,LOW,UNAVAILABLE
mt_012249215,COMP_NEUTRAL,B_ATK_corners_for_1e1156,corners_for,corners,FOR,FULL,UNCONDITIONED,TEAM_A,4.8277,4.8277,0.198,0.4375,4.3123,0.5154,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_ATK_possession_for_0e9e84,possession_for,possession,FOR,FULL,UNCONDITIONED,TEAM_A,39.0677,39.0677,0.4239,0.5833,29.8868,9.1809,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_ATK_throw_ins_for_c3fcc8,throw_ins_for,throw_ins,FOR,FULL,UNCONDITIONED,TEAM_A,20.2923,20.2923,-1.0,0.25,22.3277,-2.0354,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_ATK_final_third_entries_for_e8d654,final_third_entries_for,final_third_entries,FOR,FULL,UNCONDITIONED,TEAM_A,54.28,54.28,-1.0,0.25,59.4923,-5.2123,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DEF_crosses_against_6a48db,crosses_against,crosses,AGAINST,FULL,UNCONDITIONED,TEAM_A,4.5231,4.5231,0.8217,0.6875,3.0291,1.494,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DEF_total_shots_against_6cd183,total_shots_against,total_shots,AGAINST,FULL,UNCONDITIONED,TEAM_A,14.2369,14.2369,1.0,0.75,12.4169,1.82,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DEF_shots_inside_box_against_20c2bb,shots_inside_box_against,shots_inside_box,AGAINST,FULL,UNCONDITIONED,TEAM_A,9.1446,9.1446,0.8672,0.625,8.3218,0.8228,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DEF_touches_in_box_against_fc4e22,touches_in_box_against,touches_in_box,AGAINST,FULL,UNCONDITIONED,TEAM_A,,,,,,,3,2,SHRUNK,ALL_VENUES,away,thestatsapi,LOW,UNAVAILABLE
mt_012249215,COMP_NEUTRAL,B_DEF_corners_against_1491ec,corners_against,corners,AGAINST,FULL,UNCONDITIONED,TEAM_A,5.8769,5.8769,0.9338,0.6875,3.7191,2.1578,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DEF_blocked_shots_for_694282,blocked_shots_for,blocked_shots,FOR,FULL,UNCONDITIONED,TEAM_A,3.2738,3.2738,0.1871,0.4375,2.9411,0.3327,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DEF_clearances_for_c03e0d,clearances_for,clearances,FOR,FULL,UNCONDITIONED,TEAM_A,22.6523,22.6523,0.9254,0.6875,14.3754,8.2769,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DEF_interceptions_for_e63a25,interceptions_for,interceptions,FOR,FULL,UNCONDITIONED,TEAM_A,8.9723,8.9723,-1.0,0.25,9.7293,-0.7569,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DIS_fouls_for_ec1cdd,fouls_for,fouls,FOR,FULL,UNCONDITIONED,TEAM_A,10.8492,10.8492,-1.0,0.25,11.8507,-1.0015,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DIS_tackles_for_df69b4,tackles_for,tackles,FOR,FULL,UNCONDITIONED,TEAM_A,15.9077,15.9077,-1.0,0.25,16.6231,-0.7154,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DIS_yellow_cards_for_8ebb34,yellow_cards_for,yellow_cards,FOR,FULL,UNCONDITIONED,TEAM_A,2.0154,2.0154,-1.0,0.25,2.3093,-0.2938,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_DIS_fouls_against_6c1eb1,fouls_against,fouls,AGAINST,FULL,UNCONDITIONED,TEAM_A,11.4062,11.4062,1.0,0.75,10.6785,0.7277,19,19,DIRECT,VENUE_OVERALL,away,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,ENV_corners_51f86e,league_corners_env,league_corners_env,NEUTRAL,FULL,UNCONDITIONED,,10.6223,10.6223,,0.5,10.6223,0.0,0,0,DIRECT,COMPETITION_PRIOR,,derived,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,ENV_total_shots_b5ee6a,league_total_shots_env,league_total_shots_env,NEUTRAL,FULL,UNCONDITIONED,,25.1137,25.1137,,0.5,25.1137,0.0,0,0,DIRECT,COMPETITION_PRIOR,,derived,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,ENV_fouls_b5dcf0,league_fouls_env,league_fouls_env,NEUTRAL,FULL,UNCONDITIONED,,21.9356,21.9356,,0.5,21.9356,0.0,0,0,DIRECT,COMPETITION_PRIOR,,derived,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,ENV_yellow_cards_bcf94d,league_yellow_cards_env,league_yellow_cards_env,NEUTRAL,FULL,UNCONDITIONED,,4.3042,4.3042,,0.5,4.3042,0.0,0,0,DIRECT,COMPETITION_PRIOR,,derived,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_fc_crosses_for_43b9ba,fc_crosses_for,crosses,FOR,FULL,TEAM_FORMATION_CONDITIONED,,5.1579,5.1579,0.5412,0.5625,3.9284,1.2295,0,0,SHRUNK,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_formation_delta_crosses_for_262cbc,formation_delta_crosses_for,crosses,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.7292,0.125,3.9284,-3.9284,0,0,DERIVED,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_fc_corners_for_946767,fc_corners_for,corners,FOR,FULL,TEAM_FORMATION_CONDITIONED,,6.6842,6.6842,0.9111,0.9375,4.3123,2.3719,0,0,SHRUNK,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_formation_delta_corners_for_9b8a39,formation_delta_corners_for,corners,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.6564,0.125,4.3123,-4.3123,0,0,DERIVED,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_fc_corners_against_43b9c9,fc_corners_against,corners,AGAINST,FULL,TEAM_FORMATION_CONDITIONED,,3.7368,3.7368,0.0076,0.3125,3.7191,0.0177,0,0,SHRUNK,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_formation_delta_corners_against_34ceb0,formation_delta_corners_against,corners,AGAINST,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.6095,0.125,3.7191,-3.7191,0,0,DERIVED,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_fc_total_shots_for_3d6d2c,fc_total_shots_for,total_shots,FOR,FULL,TEAM_FORMATION_CONDITIONED,,13.0526,13.0526,0.9039,0.9167,7.9259,5.1267,0,0,SHRUNK,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_formation_delta_total_shots_for_2454ee,formation_delta_total_shots_for,total_shots,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.3975,0.1667,7.9259,-7.9259,0,0,DERIVED,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_fc_possession_for_10518c,fc_possession_for,possession,FOR,FULL,TEAM_FORMATION_CONDITIONED,,50.6316,50.6316,0.9579,0.9167,29.8868,20.7448,0,0,SHRUNK,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_formation_delta_possession_for_e8425e,formation_delta_possession_for,possession,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.38,0.1667,29.8868,-29.8868,0,0,DERIVED,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_fc_crosses_against_cae360,fc_crosses_against,crosses,AGAINST,FULL,TEAM_FORMATION_CONDITIONED,,3.2632,3.2632,0.1287,0.3125,3.0291,0.2341,0,0,SHRUNK,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_formation_delta_crosses_against_b02b14,formation_delta_crosses_against,crosses,AGAINST,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.6661,0.125,3.0291,-3.0291,0,0,DERIVED,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_fc_clearances_for_8a4db7,fc_clearances_for,clearances,FOR,FULL,TEAM_FORMATION_CONDITIONED,,14.6316,14.6316,0.0286,0.3125,14.3754,0.2562,0,0,SHRUNK,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_formation_delta_clearances_for_32ee51,formation_delta_clearances_for,clearances,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.6072,0.125,14.3754,-14.3754,0,0,DERIVED,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_fc_blocked_shots_for_a6e6d5,fc_blocked_shots_for,blocked_shots,FOR,FULL,TEAM_FORMATION_CONDITIONED,,4.5789,4.5789,0.921,0.9375,2.9411,1.6378,0,0,SHRUNK,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FC_formation_delta_blocked_shots_for_70f929,formation_delta_blocked_shots_for,blocked_shots,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.654,0.125,2.9411,-2.9411,0,0,DERIVED,TEAM_BASELINE,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FMX_fmx_crosses_for_899453,fmx_crosses_for,crosses,FOR,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,5.1205,5.1205,0.5247,0.4375,3.9284,1.1921,19,11,HIERARCHICAL,VENUE_OVERALL,home,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FMX_fmx_crosses_against_394a5a,fmx_crosses_against,crosses,AGAINST,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,3.6431,3.6431,0.3377,0.5625,3.0291,0.614,19,11,HIERARCHICAL,VENUE_OVERALL,home,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FMX_fmx_corners_for_f6d96e,fmx_corners_for,corners,FOR,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,6.6679,6.6679,0.9048,0.8125,4.3123,2.3556,19,11,HIERARCHICAL,VENUE_OVERALL,home,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FMX_fmx_corners_against_47342a,fmx_corners_against,corners,AGAINST,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,4.1986,4.1986,0.2075,0.5625,3.7191,0.4795,19,11,HIERARCHICAL,VENUE_OVERALL,home,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FMX_fmx_touches_in_box_for_4c1245,fmx_touches_in_box_for,touches_in_box,FOR,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,44.037,44.037,1.0,0.75,39.6975,4.3395,0,0,HIERARCHICAL,COMPETITION_PRIOR,home,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FMX_fmx_clearances_for_d23deb,fmx_clearances_for,clearances,FOR,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,16.0072,16.0072,0.1824,0.5625,14.3754,1.6318,19,11,HIERARCHICAL,VENUE_OVERALL,home,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FMX_fmx_blocked_shots_for_0918af,fmx_blocked_shots_for,blocked_shots,FOR,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,4.5582,4.5582,0.9094,0.8125,2.9411,1.6171,19,11,HIERARCHICAL,VENUE_OVERALL,home,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_FMX_fmx_shots_inside_box_against_ff9b01,fmx_shots_inside_box_against,shots_inside_box,AGAINST,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,7.5134,7.5134,-0.852,0.375,8.3218,-0.8084,19,11,HIERARCHICAL,VENUE_OVERALL,home,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_fc_crosses_for_3c7a8d,fc_crosses_for,crosses,FOR,FULL,TEAM_FORMATION_CONDITIONED,,5.3684,5.3684,0.6338,0.8125,3.9284,1.44,0,0,SHRUNK,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_formation_delta_crosses_for_b2b244,formation_delta_crosses_for,crosses,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.7292,0.125,3.9284,-3.9284,0,0,DERIVED,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_fc_corners_for_7f413e,fc_corners_for,corners,FOR,FULL,TEAM_FORMATION_CONDITIONED,,4.7895,4.7895,0.1833,0.3125,4.3123,0.4772,0,0,SHRUNK,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_formation_delta_corners_for_814df9,formation_delta_corners_for,corners,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.6564,0.125,4.3123,-4.3123,0,0,DERIVED,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_fc_corners_against_a1f672,fc_corners_against,corners,AGAINST,FULL,TEAM_FORMATION_CONDITIONED,,5.8947,5.8947,0.9415,0.8125,3.7191,2.1756,0,0,SHRUNK,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_formation_delta_corners_against_4ceaf8,formation_delta_corners_against,corners,AGAINST,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.6095,0.125,3.7191,-3.7191,0,0,DERIVED,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_fc_total_shots_for_56c1aa,fc_total_shots_for,total_shots,FOR,FULL,TEAM_FORMATION_CONDITIONED,,10.7368,10.7368,0.4956,0.4167,7.9259,2.8109,0,0,SHRUNK,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_formation_delta_total_shots_for_c8fa4c,formation_delta_total_shots_for,total_shots,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.3975,0.1667,7.9259,-7.9259,0,0,DERIVED,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_fc_possession_for_195a66,fc_possession_for,possession,FOR,FULL,TEAM_FORMATION_CONDITIONED,,39.0,39.0,0.4208,0.4167,29.8868,9.1132,0,0,SHRUNK,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_formation_delta_possession_for_7981aa,formation_delta_possession_for,possession,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.38,0.1667,29.8868,-29.8868,0,0,DERIVED,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_fc_crosses_against_597d71,fc_crosses_against,crosses,AGAINST,FULL,TEAM_FORMATION_CONDITIONED,,4.6316,4.6316,0.8814,0.8125,3.0291,1.6025,0,0,SHRUNK,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_formation_delta_crosses_against_0a6971,formation_delta_crosses_against,crosses,AGAINST,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.6661,0.125,3.0291,-3.0291,0,0,DERIVED,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_fc_clearances_for_69c99a,fc_clearances_for,clearances,FOR,FULL,TEAM_FORMATION_CONDITIONED,,23.1579,23.1579,0.9819,0.8125,14.3754,8.7825,0,0,SHRUNK,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_formation_delta_clearances_for_d45df4,formation_delta_clearances_for,clearances,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.6072,0.125,14.3754,-14.3754,0,0,DERIVED,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_fc_blocked_shots_for_438ff2,fc_blocked_shots_for,blocked_shots,FOR,FULL,TEAM_FORMATION_CONDITIONED,,3.2632,3.2632,0.1811,0.3125,2.9411,0.322,0,0,SHRUNK,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FC_formation_delta_blocked_shots_for_49fdbe,formation_delta_blocked_shots_for,blocked_shots,FOR,FULL,TEAM_FORMATION_CONDITIONED,,0.0,0.0,-1.654,0.125,2.9411,-2.9411,0,0,DERIVED,TEAM_BASELINE,away,derived_formation,LOW,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FMX_fmx_crosses_for_9a4360,fmx_crosses_for,crosses,FOR,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,5.4298,5.4298,0.6609,0.9375,3.9284,1.5014,19,11,HIERARCHICAL,VENUE_OVERALL,away,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FMX_fmx_crosses_against_f04e57,fmx_crosses_against,crosses,AGAINST,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,4.6458,4.6458,0.8892,0.9375,3.0291,1.6167,19,11,HIERARCHICAL,VENUE_OVERALL,away,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FMX_fmx_corners_for_bb3b57,fmx_corners_for,corners,FOR,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,5.0092,5.0092,0.2677,0.5625,4.3123,0.6969,19,11,HIERARCHICAL,VENUE_OVERALL,away,derived_formation,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,B_FMX_fmx_corners_against_6916a5,fmx_corners_against,corners,AGAINST,FULL,OPP_FORMATION_CONDITIONED,4-2-3-1,6.0306,6.0306,1.0003,0.9375,3.7191,2.3115,19,11,HIERARCHICAL,VENUE_OVERALL,away,derived_formation,HIGH,PIT_SAFE
