mechanism,family,eligibility,coverage,pre_gate_eligibility,reject_reason,semantic_stable_frac,sensitivity_flag,sensitivity_margin,severe_disagree_frac,surrogate_s1,surrogate_verdict
FORMATION_BEHAVIOR_FIT,formation,INSUFFICIENT_COVERAGE,0,,,,,,,,
FORMATION_BOX_INTERACTION,formation,INSUFFICIENT_COVERAGE,0,,,,,,,,
FORMATION_TRANSITION_STATE,formation,INSUFFICIENT_COVERAGE,0,,,,,,,,
FORMATION_VS_OPP_DEFENSIVE_PROFILE,formation,INSUFFICIENT_COVERAGE,0,,,,,,,,
FORMATION_WIDTH_INTERACTION,formation,INSUFFICIENT_COVERAGE,0,,,,,,,,
FOUL_DRAWING,discipline,RESEARCH_ONLY_UNSTABLE,56,,,0.9643,UNSTABLE_SENSITIVITY,-0.0093,0.0357,,
FOUL_TENDENCY,discipline,REJECTED,56,REDUNDANT_WITH_DETERMINISTIC,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1111,0.0,0.931,TRIVIALLY_REDUCIBLE
SAVE_ENVIRONMENT,defense,REJECTED,8,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1667,0.0,,
SECOND_HALF_ESCALATION,attack,INSUFFICIENT_COVERAGE,6,,,,,,,,
SECOND_HALF_PRESSURE_SHIFT,matchup,INSUFFICIENT_COVERAGE,4,,,,,,,,
SET_PIECE_GENERATION,attack,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1204,0.0,0.7759,PARTIALLY_REDUCIBLE
SHOT_CREATION_MATCHUP,matchup,REJECTED,28,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1296,0.0,0.5172,IRREDUCIBLE_OR_NOISY
SHOT_QUALITY,attack,REJECTED,10,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",0.8,OK,0.2222,0.2,,
SHOT_SUPPRESSION,defense,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",0.9643,OK,0.1481,0.0,0.5172,IRREDUCIBLE_OR_NOISY
SHOT_VOLUME,attack,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1389,0.0,0.7069,PARTIALLY_REDUCIBLE
TEMPO_EXPECTATION,matchup,INSUFFICIENT_COVERAGE,0,,,,,,,,
TERRITORIAL_PRESSURE,attack,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1111,0.0,0.6552,PARTIALLY_REDUCIBLE
WIDE_PRESSURE_MATCHUP,matchup,REJECTED,28,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1019,0.0,0.5172,IRREDUCIBLE_OR_NOISY
WIDTH_PRESSURE,attack,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1389,0.0,0.5517,IRREDUCIBLE_OR_NOISY
